token_id,token_str,count,avg_expert_size,avg_expert_size_excluding_null,null_fraction
64543, Selkirk,44,87.82,256.0,0.65696
59316, mockingbird,18,87.85,256.0,0.656829
29732,loo,56,87.86,256.0,0.656808
40851,-user,80,87.87,256.0,0.656771
22496,xuality,24,87.89,256.0,0.656684
51765,ufacturing,52,87.9,256.0,0.656651
61670, _________,29,87.91,256.0,0.656609
14759, ________,103,87.95,256.0,0.656452
11249,bestos,5,88.0,256.0,0.65625
30272,fecture,8,88.0,256.0,0.65625
39807,alore,11,88.0,256.0,0.65625
53282,HWH,5,88.0,256.0,0.65625
48669, immunized,62,88.04,256.0,0.656082
36828, litre,78,88.07,256.0,0.655983
61358,mectin,74,88.07,256.0,0.655968
20972,venth,80,88.13,256.0,0.655729
20124, VIII,318,88.14,256.0,0.655693
31999, wilt,118,88.16,256.0,0.655632
56395,-pocket,33,88.16,256.0,0.655619
65322, hypertext,59,88.18,256.0,0.655544
40403,heumatic,29,88.18,256.0,0.655532
36649, rosemary,295,88.24,256.0,0.655332
60948,yad,76,88.25,256.0,0.655291
62903,icylic,45,88.3,256.0,0.655093
29189,oea,49,88.33,256.0,0.654974
39626,ophytes,77,88.38,256.0,0.654762
57483, aromatherapy,55,88.39,256.0,0.654735
8783,inois,81,88.46,256.0,0.65445
6374,ymph,74,88.5,256.0,0.654279
30896,uristic,31,88.52,256.0,0.654234
30777,otourism,41,88.59,256.0,0.653963
41748, XI,109,88.59,256.0,0.653956
41766,oscopes,44,88.61,256.0,0.653883
62543,weekly,48,88.61,256.0,0.653863
63121, westerly,46,88.64,256.0,0.653759
46953,blasts,15,88.71,256.0,0.653472
54528, inshore,36,88.74,256.0,0.653356
38559,iopathic,46,88.75,256.0,0.653306
32141,junct,53,88.75,256.0,0.653302
51514,ITAL,55,88.78,256.0,0.65322
55047,-organic,55,88.78,256.0,0.65322
43679,rosine,10,88.8,256.0,0.653125
63188,agel,40,88.8,256.0,0.653125
55263, retardant,33,88.81,256.0,0.653093
61837,irting,33,88.81,256.0,0.653093
4769,igenous,56,88.81,256.0,0.653088
25350, mildew,121,88.82,256.0,0.653065
63975,igarh,25,88.85,256.0,0.652917
55301, Styrofoam,37,88.86,256.0,0.652872
31551,osher,12,88.89,256.0,0.652778
50823,oblasts,45,88.89,256.0,0.652778
28363,oscale,41,88.91,256.0,0.652693
60971,igrade,82,88.91,256.0,0.652693
51912,kah,98,88.93,256.0,0.652636
45812,peas,37,88.94,256.0,0.65259
25231,iban,25,88.96,256.0,0.6525
37178,Orthodox,40,89.0,256.0,0.652344
50640,noea,24,89.0,256.0,0.652344
60069, agroforestry,66,89.05,256.0,0.652146
52707,accalaureate,40,89.07,256.0,0.652083
50712,awar,28,89.14,256.0,0.651786
52960,olingual,7,89.14,256.0,0.651786
54271,facebook,7,89.14,256.0,0.651786
29244,steine,74,89.19,256.0,0.651605
60589,ppies,29,89.2,256.0,0.65158
41011,ingya,11,89.21,256.0,0.651515
64101,orants,44,89.21,256.0,0.651515
47356,ILY,79,89.32,256.0,0.651108
38695,aah,10,89.33,256.0,0.651042
46458, Tutsi,16,89.33,256.0,0.651042
53599,alanine,46,89.33,256.0,0.651042
63189,agious,24,89.33,256.0,0.651042
49509, turnips,49,89.36,256.0,0.650935
50648,oram,76,89.37,256.0,0.650905
22549,emale,28,89.43,256.0,0.65067
65095,worts,13,89.44,256.0,0.650641
63056,osaccharides,74,89.48,256.0,0.650479
64446, adenocarcinoma,36,89.48,256.0,0.650463
64174,ipides,41,89.5,256.0,0.650407
62435,āy,81,89.51,256.0,0.650334
33151,-Christian,156,89.52,256.0,0.650307
23471,escent,70,89.52,256.0,0.650298
36679,physema,14,89.52,256.0,0.650298
44699,ospitable,7,89.52,256.0,0.650298
55379,adone,7,89.52,256.0,0.650298
61234,proofing,22,89.58,256.0,0.650095
59790, orwell,49,89.58,256.0,0.650085
48483,intendo,32,89.58,256.0,0.650065
64840, hyperthermia,37,89.59,256.0,0.650056
20973,ancipation,10,89.6,256.0,0.65
23976,lessed,30,89.6,256.0,0.65
46999, baldness,70,89.6,256.0,0.65
39993, XVI,164,89.64,256.0,0.649835
62742,onsense,35,89.68,256.0,0.649702
46774,innah,11,89.7,256.0,0.649621
53479,-technology,60,89.73,256.0,0.649479
33193,hao,55,89.75,256.0,0.649432
40220,older,84,89.81,256.0,0.649182
39781,-education,74,89.84,256.0,0.649071
37272, Abel,196,89.85,256.0,0.649022
46942,marter,10,89.87,256.0,0.648958
59217, THEN,20,89.87,256.0,0.648958
3952,rief,111,89.87,256.0,0.64893
64386,enhoek,17,89.88,256.0,0.648897
65192, infanticide,24,89.89,256.0,0.648872
17187, Abuse,364,89.9,256.0,0.648838
52711,-cleaning,66,89.9,256.0,0.648832
48782,ouin,46,89.91,256.0,0.648777
40002,-electric,121,89.96,256.0,0.648588
54216,ocaine,50,89.97,256.0,0.648542
53307,qing,71,89.99,256.0,0.648474
38902,anthin,18,90.07,256.0,0.648148
36013,-German,91,90.08,256.0,0.648123
40226,exe,11,90.18,256.0,0.647727
52451,ferencing,46,90.2,256.0,0.647645
58140,DFS,37,90.23,256.0,0.647523
60585,emus,62,90.24,256.0,0.647513
36355,ahua,47,90.27,256.0,0.647385
53012,hala,59,90.31,256.0,0.647246
40561,/year,83,90.31,256.0,0.647214
23450,efined,23,90.32,256.0,0.647192
44469, inanimate,69,90.32,256.0,0.647192
54683, bunions,20,90.4,256.0,0.646875
15218,pleasant,25,90.45,256.0,0.646667
10053,ineteenth,13,90.46,256.0,0.646635
49754,-medical,48,90.5,256.0,0.646484
31831,anasia,26,90.56,256.0,0.646234
9763,borne,173,90.59,256.0,0.646134
17802,xia,153,90.63,256.0,0.645969
65527,<|bos|>,53411,90.66,256.0,0.645869
43023,ocles,133,90.67,256.0,0.645833
31470,stadt,239,90.73,256.0,0.645572
26123,rogens,37,90.74,256.0,0.645552
46665,fuels,68,90.75,256.0,0.645527
52030,leye,24,90.78,256.0,0.645399
50512,ETS,78,90.8,256.0,0.645299
30215,OME,75,90.81,256.0,0.645278
62786, Resistant,54,90.81,256.0,0.645255
58788, obsessions,31,90.84,256.0,0.645161
64318,OTE,30,90.84,256.0,0.645139
22588,ressure,38,90.88,256.0,0.645011
41125,-change,79,90.9,256.0,0.64491
62525, amphetamines,30,90.93,256.0,0.644792
21849,adal,200,90.96,256.0,0.644687
18738,inav,25,90.99,256.0,0.644583
57619,ometh,45,91.02,256.0,0.644444
37937,ovalent,22,91.03,256.0,0.644413
56103,-haul,36,91.04,256.0,0.644387
41548,pecific,50,91.04,256.0,0.644375
7298,angered,20,91.07,256.0,0.644271
41283,ì,150,91.11,256.0,0.644097
42105,inite,35,91.12,256.0,0.644048
2950,ifornia,29,91.13,256.0,0.644037
39585,ermint,29,91.13,256.0,0.644037
53136,shade,40,91.13,256.0,0.64401
53744,-GMO,56,91.14,256.0,0.643973
53087, Chávez,37,91.17,256.0,0.643863
42962, esters,42,91.17,256.0,0.643849
52512,avened,73,91.18,256.0,0.643836
46877,urization,26,91.18,256.0,0.64383
59787, Cursive,10,91.2,256.0,0.64375
62647, midsummer,60,91.2,256.0,0.64375
34428,eneration,61,91.23,256.0,0.643613
58566, lemongrass,14,91.24,256.0,0.643601
44146,ptides,65,91.24,256.0,0.64359
16315,cellular,134,91.24,256.0,0.643579
17072, ____,83,91.28,256.0,0.643449
56464, carboxylic,30,91.29,256.0,0.643403
13222,ococc,28,91.33,256.0,0.643229
42536,junctive,23,91.36,256.0,0.643116
11000,-dimensional,863,91.38,256.0,0.643033
30847,endered,52,91.38,256.0,0.643029
45148,avanese,32,91.42,256.0,0.642904
56991,ellent,14,91.43,256.0,0.642857
64952, inhalers,35,91.43,256.0,0.642857
34061,terranean,47,91.46,256.0,0.64273
38451, barefoot,84,91.52,256.0,0.642485
42496,ixties,31,91.53,256.0,0.642473
64295,raband,49,91.54,256.0,0.642432
49173, mistletoe,58,91.54,256.0,0.642421
35469, inpatient,131,91.54,256.0,0.642414
763,fter,78,91.56,256.0,0.642361
11201,thening,18,91.56,256.0,0.642361
37902,omyopathy,9,91.56,256.0,0.642361
40167, sciatica,72,91.56,256.0,0.642361
48874,placeable,6,91.56,256.0,0.642361
33762, hourly,122,91.58,256.0,0.642247
