token_id,token_str,count,avg_expert_size,avg_expert_size_excluding_null,null_fraction
27288,nering,40,117.37,262.79,0.553385
52221,odils,8,116.17,260.1,0.553385
52921,WAYS,8,112.5,251.9,0.553385
54753,final,64,115.12,257.77,0.553385
57944,yce,24,110.72,247.91,0.553385
20980, leakage,275,112.0,250.76,0.553371
56792, CHILDREN,43,118.51,265.3,0.553295
37103,rion,52,116.92,261.74,0.553285
48928,folded,88,117.64,263.33,0.553267
54568, stevia,133,123.69,276.87,0.553258
26293, triglycerides,188,117.75,263.57,0.553247
18948,odynamic,99,117.79,263.66,0.553241
41229,lemagne,9,107.56,240.75,0.553241
60272, clef,46,125.71,281.37,0.553216
47149, Bayesian,96,121.94,272.91,0.553168
19017,arre,87,118.99,266.29,0.553161
5235,ventional,39,117.16,262.2,0.553152
15747,gevity,10,120.67,270.02,0.553125
61091,letting,40,111.2,248.84,0.553125
64356, Collie,10,112.13,250.93,0.553125
56699, poplar,41,123.41,276.16,0.5531
42786, hydrologic,52,120.95,270.63,0.553085
2325,ores,957,113.57,254.12,0.553074
42035, subscriber,74,119.59,267.57,0.553069
37957,wolf,64,117.46,262.81,0.55306
46397,-center,64,118.92,266.07,0.55306
26740, recyclable,142,124.42,278.37,0.553037
12456,orship,230,110.58,247.4,0.553034
57013,ermont,89,125.14,279.96,0.55302
692,tern,273,111.38,249.17,0.552999
59331,iofacial,57,113.73,254.43,0.552997
50861, Militia,46,122.9,274.93,0.552989
24149, traction,232,113.23,253.3,0.552981
61380,itro,47,118.89,265.96,0.55297
64732, Proctor,47,110.89,248.07,0.55297
32816,hema,145,116.86,261.41,0.552945
43778, cation,86,120.45,269.42,0.552931
46745,okia,25,122.29,273.54,0.552917
2485,eter,538,115.47,258.28,0.552916
49081,rigger,63,111.7,249.85,0.55291
4079,rome,140,118.07,264.07,0.552902
32142,mese,13,120.21,268.85,0.552885
34110, bomber,147,110.57,247.28,0.552863
17017,ITY,388,109.98,245.96,0.552862
33141,otoxins,55,117.31,262.34,0.552841
46280,lore,14,110.38,246.84,0.552827
49335, herbivore,70,118.8,265.67,0.552827
58204, Apartheid,28,127.71,285.6,0.552827
4303,olid,200,118.15,264.2,0.552813
13298,ysics,86,121.4,271.46,0.55281
52303,hetamines,29,119.95,268.23,0.552802
19274,ultan,15,112.0,250.43,0.552778
21521, photographic,277,120.12,268.58,0.55276
35669,urist,124,111.81,249.99,0.552755
31352,osine,79,114.6,256.23,0.552743
1955,ray,756,109.68,245.2,0.552717
37214,WASH,17,127.69,285.46,0.552696
65229,-salt,17,116.86,261.26,0.552696
15521,oglobin,69,124.04,277.3,0.552687
11211,Hz,158,132.08,295.26,0.552677
9125,-ray,1034,119.43,266.98,0.552668
33501,phasia,56,125.02,279.47,0.552641
30744, mammography,57,115.56,258.3,0.552632
21946,lides,60,113.98,254.76,0.552604
30336,ersonic,20,121.4,271.35,0.552604
14705, VI,423,109.21,244.11,0.5526
40084, bloc,102,119.36,266.78,0.552594
36148, pennies,107,114.47,255.83,0.55257
10211,dominal,66,118.16,264.08,0.552557
11107,thal,247,116.2,259.69,0.552547
22352,andel,45,109.84,245.47,0.552546
52056, Comanche,46,118.38,264.55,0.552536
8175,ket,212,116.89,261.21,0.552526
63684,achian,72,107.87,241.06,0.552517
56113, malabsorption,49,120.3,268.83,0.552509
20930,ammed,74,109.42,244.52,0.552506
23828, noon,233,115.65,258.43,0.552486
28342,ovich,233,113.4,253.39,0.552486
19629,iza,138,115.45,257.96,0.552461
23807,-confidence,248,113.42,253.44,0.552461
53498,finance,58,124.83,278.91,0.552443
65331, Provence,31,120.09,268.3,0.552419
30911, increment,95,117.08,261.58,0.552412
27320,ogeneity,32,119.46,266.89,0.552409
22395,lective,133,110.87,247.69,0.552397
12842,и,544,112.47,251.26,0.55239
62565, Cullen,35,113.3,253.11,0.552381
39061, pleasurable,72,122.3,273.21,0.552373
53866,lake,78,115.59,258.21,0.55235
50578, tamoxifen,46,114.35,255.42,0.55231
8012,ali,772,112.96,252.28,0.552259
49004, ALA,61,124.15,277.28,0.552254
23880,amo,212,116.36,259.85,0.552182
15741, cooperative,570,120.05,268.06,0.552138
14408,aculture,26,118.15,263.79,0.552083
29318,optosis,26,119.49,266.76,0.552083
32942,anay,21,115.37,257.56,0.552083
35064,utherford,12,118.0,263.44,0.552083
36461,swald,11,119.39,266.55,0.552083
45199,alou,15,117.42,262.15,0.552083
49521,-garde,70,115.92,258.81,0.552083
51258,metto,36,123.26,275.18,0.552083
51638,-get,35,120.72,269.52,0.552083
52618, Romney,55,119.35,266.45,0.552083
54904, phenol,42,123.75,276.27,0.552083
55487, Parthen,18,118.67,264.93,0.552083
57063,ANY,22,121.33,270.88,0.552083
58624,-knowledge,47,105.05,234.53,0.552083
61378,atize,44,107.39,239.76,0.552083
10297,ictions,172,112.63,251.41,0.552023
28914, subtropical,154,124.91,278.82,0.552016
15629,organic,152,121.85,272.0,0.552015
14107,eton,124,114.25,255.02,0.551999
40877, PAT,103,117.9,263.17,0.551982
44483, Moodle,93,124.59,278.08,0.551971
24503,medicine,92,122.22,272.79,0.55197
16505, Alice,543,124.59,278.09,0.551968
59641, pentatonic,86,131.05,292.51,0.551962
54435,HB,78,115.09,256.88,0.55195
17124,iratory,75,120.25,268.38,0.551944
53606,urts,73,116.42,259.83,0.551941
20255,ubes,68,119.12,265.85,0.55193
43726, intercultural,65,119.55,266.8,0.551923
60525,Muhammad,57,126.22,281.68,0.551901
30103, STD,109,121.53,271.2,0.551892
55677, CKD,52,132.74,296.23,0.551883
63393,micron,49,127.13,283.69,0.551871
53118,-mining,43,113.74,253.79,0.551841
39510,inetics,42,121.17,270.38,0.551835
23545,ocarbon,41,119.8,267.32,0.551829
28821, Ary,41,124.1,276.9,0.551829
58975, Boniface,41,123.06,274.58,0.551829
8431,mentia,40,121.7,271.54,0.551823
24416, fry,192,116.03,258.9,0.551812
61334,AU,37,122.45,273.21,0.551802
47715, metformin,70,114.82,256.17,0.551786
7742,iary,270,115.61,257.94,0.551775
14402,ivia,65,113.62,253.48,0.551763
40243,seeing,31,107.1,238.92,0.551747
46153, modal,92,116.91,260.82,0.551744
23581,plasia,57,116.98,260.96,0.551718
49313, Modelling,55,118.04,263.3,0.551705
33963,LT,157,118.73,264.85,0.551685
39442, IBD,78,119.88,267.4,0.551683
37162, Belief,77,122.11,272.38,0.551677
47269,lder,50,113.6,253.38,0.551667
11951,€,268,118.36,264.0,0.551656
56145, Insulation,24,120.28,268.27,0.551649
64820,STD,23,122.67,273.58,0.55163
33810,lain,43,106.02,236.43,0.551599
1481,ern,893,110.71,246.9,0.551593
19711, cane,275,112.01,249.79,0.551591
32515,oleum,21,116.19,259.12,0.551587
32718,urger,21,97.65,217.77,0.551587
64463,-reflective,20,123.8,276.07,0.551562
47543, tribunal,79,121.3,270.49,0.551556
15528,eat,177,116.73,260.3,0.551554
54755,iella,59,113.9,253.98,0.551554
29792,ships,56,117.88,262.85,0.551525
28068,ACP,37,113.69,253.51,0.55152
169,�,623,110.2,245.72,0.551515
12530,iotics,55,123.01,274.27,0.551515
36550, telemedicine,55,123.44,275.24,0.551515
44854, Ehr,18,124.37,277.31,0.551505
45146,nasium,18,112.52,250.88,0.551505
55118,ibiscus,18,104.81,233.7,0.551505
25092,ampton,35,106.55,237.57,0.551488
16134,xiety,33,117.54,262.04,0.551452
52848,protein,49,119.95,267.4,0.551446
14704,iller,221,108.58,242.05,0.551423
42688,-absor,47,119.32,265.99,0.551418
11163,entieth,15,114.49,255.21,0.551389
37430,wort,75,113.64,253.31,0.551389
64670, Falmouth,15,115.91,258.38,0.551389
20050,tec,57,123.25,274.72,0.551352
51609,uckleberry,42,123.71,275.74,0.551339
42484, polystyrene,96,122.12,272.19,0.551324
39381, sinners,137,123.88,276.11,0.551323
17675, alloy,287,114.13,254.35,0.551285
22361, wildfire,182,119.97,267.36,0.551282
31075, Discrimination,139,121.8,271.43,0.551259
45416,planes,63,117.38,261.57,0.551257
49048,ceptible,63,116.15,258.83,0.551257
53174, Darling,63,119.11,265.43,0.551257
25231,iban,25,113.01,251.84,0.55125
30678, undocumented,75,120.48,268.48,0.55125
33747, postpartum,137,125.27,279.16,0.551247
35661,wara,62,113.35,252.6,0.551243
16689,ilis,220,113.87,253.73,0.551231
64593,cings,24,108.11,240.9,0.551215
13525,imeters,93,112.22,250.03,0.551187
28734,-feeding,138,120.89,269.35,0.551178
62017,rasse,23,120.99,269.56,0.551178
12130,ppers,146,117.82,262.49,0.551156
11647,angers,122,122.13,272.09,0.551144
11424,vasive,22,122.79,273.55,0.551136
64408, Albatross,11,120.48,268.42,0.551136
22680, Hotel,384,117.4,261.55,0.551134
62139, Gulliver,54,123.68,275.53,0.551119
7034,ifest,96,109.26,243.41,0.551107
62699,umo,42,111.17,247.66,0.551091
862,hat,727,114.95,256.04,0.551037
13182, conditioning,726,114.39,254.78,0.551036
35187,γ,215,117.91,262.62,0.551017
13866, preventive,488,119.13,265.33,0.551016
45375, ace,66,115.37,256.94,0.550979
62359, Resort,66,117.11,260.81,0.550979
59666, kilowatts,28,119.76,266.71,0.550967
44146,ptides,65,124.23,276.65,0.550962
23903,osexuality,74,124.07,276.3,0.550957
15186,rowning,63,120.34,267.97,0.550926
48701, thumbnail,54,110.47,245.99,0.550926
13363,aran,215,106.35,236.82,0.550921
14779,ringe,71,112.51,250.52,0.55091
45535,DES,53,124.65,277.57,0.550904
50290, Balanced,53,125.71,279.92,0.550904
22155,amide,254,114.09,254.05,0.550894
64073,Roosevelt,35,121.87,271.35,0.550893
51139,gall,87,103.31,230.03,0.550886
34009,ugu,86,109.74,244.33,0.550872
44025,plicate,68,113.8,253.38,0.550858
56117,ह,59,121.81,271.19,0.550847
39772, oscillator,67,119.22,265.44,0.55084
51731,issen,67,108.08,240.63,0.55084
34603,agas,83,123.23,274.35,0.550828
52661, Hyperactivity,33,129.49,288.29,0.550821
61845,ifid,33,115.92,258.07,0.550821
48307,GHG,74,128.38,285.8,0.550816
59418, Bres,98,117.8,262.24,0.550808
40778,ependency,57,121.54,270.58,0.550804
30689,-viol,8,121.17,269.73,0.550781
30498,ractive,79,120.19,267.53,0.550765
26580,apper,134,114.02,253.81,0.550762
64402, Borrelia,31,122.37,272.37,0.550739
7389,reate,54,113.85,253.42,0.550733
17134, vinegar,419,120.01,267.12,0.550716
28321, confinement,218,116.03,258.25,0.550698
36874,halation,15,114.76,255.41,0.550694
28349, Revere,81,116.15,258.49,0.550669
53928,onging,66,121.72,270.88,0.550663
27161,arkers,29,115.45,256.92,0.550647
54528, inshore,36,120.04,267.13,0.550637
62298,plands,36,119.22,265.31,0.550637
29114, opium,78,127.16,282.97,0.550614
6196,rating,352,119.64,266.23,0.550604
15783,rong,77,110.86,246.68,0.550595
21871,itures,35,114.13,253.97,0.550595
25240, apartheid,126,128.72,286.42,0.550595
59937, mouthguard,7,110.1,244.98,0.550595
20799, ginger,235,118.56,263.81,0.550576
36807,ifa,123,112.88,251.15,0.550559
13224, compression,610,121.11,269.45,0.550546
27245,idic,115,113.76,253.11,0.550543
40842, diuretic,128,121.14,269.51,0.550537
49527, Communicate,74,107.98,240.25,0.550535
40424, Beaufort,47,124.77,277.59,0.550532
2787,itor,488,111.99,249.14,0.550504
34132, Apostle,145,124.18,276.27,0.550503
30940, Bagh,39,123.32,274.33,0.550481
34141,NV,52,118.26,263.07,0.550481
63610,asim,65,113.13,251.66,0.550481
11858,EV,386,123.6,274.95,0.550464
11000,-dimensional,863,115.95,257.93,0.550454
